date,variable,value,value01
1967-07-01,pce,507.4,0
1967-08-01,pce,510.5,2.6600080658309287e-4
1967-09-01,pce,516.3,7.636797350288719e-4
1967-10-01,pce,512.9,4.719369149054839e-4
1967-11-01,pce,518.1,9.181318162706726e-4
1967-12-01,pce,525.8,0.001578843497138344
1968-01-01,pce,531.5,0.0020679417544040312
1968-02-01,pce,534.2,0.0022996198762667273
1968-03-01,pce,544.9,0.0032177516925373903
1968-04-01,pce,544.6,0.003192009678997095
1968-05-01,pce,550.4,0.003689688607442874
1968-06-01,pce,556.8,0.004238851562969254
1968-07-01,pce,563.8,0.004839498545576233
1968-08-01,pce,567.6,0.005165564050420028
1968-09-01,pce,568.8,0.005268532104581218
1968-10-01,pce,572.3,0.005568855595884708
1968-11-01,pce,577.4,0.006006469826069795
1968-12-01,pce,577.2,0.0059893084837096015
1969-01-01,pce,584.2,0.006589955466316581
1969-02-01,pce,589.5,0.007044731038861862
1969-03-01,pce,589.7,0.0070618923812220645
1969-04-01,pce,594.7,0.007490925940227051
1969-05-01,pce,601.1,0.008040088895753429
1969-06-01,pce,601.7,0.00809157292283403
1969-07-01,pce,603.5,0.00824602500407582
1969-08-01,pce,610.8,0.008872414000223094
1969-09-01,pce,614.1,0.009155576149166391
1969-10-01,pce,619.4,0.009610351721711673
1969-11-01,pce,621.4,0.009781965145313666
1969-12-01,pce,623.7,0.009979320582455965
1970-01-01,pce,629.6,0.010485580182081846
1970-02-01,pce,634.9,0.010940355754627127
1970-03-01,pce,633.2,0.010794484344565437
1970-04-01,pce,637,0.011120549849409222
1970-05-01,pce,643.4,0.011669712804935601
1970-06-01,pce,647.2,0.011995778309779397
1970-07-01,pce,649.5,0.012193133746921686
1970-08-01,pce,653.9,0.01257068327884607
1970-09-01,pce,660.1,0.013102684892012257
1970-10-01,pce,659.3,0.013034039522571454
1970-11-01,pce,657.6,0.012888168112509764
1970-12-01,pce,666.6,0.013660428518718737
1971-01-01,pce,677.2,0.014569979663809308
1971-02-01,pce,680.4,0.014844561141572492
1971-03-01,pce,683,0.015067658592255088
1971-04-01,pce,689.8,0.015651144232501864
1971-05-01,pce,692.2,0.015857080340824264
1971-06-01,pce,700.8,0.01659501806231283
1971-07-01,pce,699.9,0.016517792021691936
1971-08-01,pce,706,0.01704121296367802
1971-09-01,pce,714.1,0.017736247329266097
1971-10-01,pce,716.9,0.017976506122308885
1971-11-01,pce,722.1,0.018422701023674076
1971-12-01,pce,729.6,0.01906625136218155
1972-01-01,pce,732.6,0.019323671497584544
1972-02-01,pce,737.3,0.019726963043049224
1972-03-01,pce,750.4,0.02085103096764229
1972-04-01,pce,753.8,0.021142773787765676
1972-05-01,pce,759.2,0.021606130031491068
1972-06-01,pce,762.9,0.02192361486515475
1972-07-01,pce,771.2,0.022635810573103033
1972-08-01,pce,777.7,0.023193554199809514
1972-09-01,pce,782.5,0.023605426416454297
1972-10-01,pce,796.3,0.024789559039308053
1972-11-01,pce,801.8,0.025261495954213536
1972-12-01,pce,807.5,0.025750594211479225
1973-01-01,pce,817.9,0.02664298401420959
1973-02-01,pce,827.2,0.02744098643395887
1973-03-01,pce,834.2,0.028041633416565848
1973-04-01,pce,837.2,0.02829905355196884
1973-05-01,pce,843.1,0.028805313151594722
1973-06-01,pce,845.8,0.029036991273457408
1973-07-01,pce,855.7,0.029886477720287286
1973-08-01,pce,854.9,0.029817832350846483
1973-09-01,pce,870.9,0.031190739739662434
1973-10-01,pce,869.8,0.031096352356681338
1973-11-01,pce,878.6,0.031851451420530114
1973-12-01,pce,878.4,0.031834290078169916
1974-01-01,pce,886.4,0.03252074377257789
1974-02-01,pce,891.6,0.032966938673943076
1974-03-01,pce,903.3,0.03397087720201474
1974-04-01,pce,912.7,0.034777460292944117
1974-05-01,pce,924.3,0.035772818149835676
1974-06-01,pce,929.9,0.036253335735921266
1974-07-01,pce,939.8,0.037102822182751134
1974-08-01,pce,956.6,0.03854437494100789
1974-09-01,pce,956.8,0.03856153628336808
1974-10-01,pce,961,0.03892192447293227
1974-11-01,pce,958,0.038664504337529285
1974-12-01,pce,963.6,0.03914502192361487
1975-01-01,pce,977.4,0.040329154546468626
1975-02-01,pce,991.3,0.041521867840502484
1975-03-01,pce,992.6,0.04163341656584378
1975-04-01,pce,997.2,0.04202812744012837
1975-05-01,pce,1021.2,0.0440874885233523
1975-06-01,pce,1029.1,0.04476536154658017
1975-07-01,pce,1042.2,0.04588942947117324
1975-08-01,pce,1049.4,0.046507237796140424
1975-09-01,pce,1057.2,0.0471765301481882
1975-10-01,pce,1063.2,0.047691370418994176
1975-11-01,pce,1078,0.04896130975364893
1975-12-01,pce,1094.4,0.05036853982718529
1976-01-01,pce,1109.5,0.05166422117538034
1976-02-01,pce,1110.1,0.05171570520246093
1976-03-01,pce,1117.3,0.05233351352742811
1976-04-01,pce,1127.8,0.05323448400133858
1976-05-01,pce,1125.1,0.05300280587947589
1976-06-01,pce,1142.9,0.05453016534953365
1976-07-01,pce,1152.1,0.05531958709810281
1976-08-01,pce,1160.5,0.05604036347723119
1976-09-01,pce,1171.4,0.056975656635862064
